Year,Month,Cases,Rain,minT,maxT,VCAP
2001,May,105,10.4,12.2,23.9,1728.069474
2001,Jun,230,8.2,11.1,22.5,608.6546148
2001,Jul,240,4.1,10.8,22.9,98.3536821
2001,Aug,250,3.7,11.2,23.4,210.1106176
2001,Sep,165,6.2,11,23.9,515.911522
2001,Oct,135,9.6,11.3,24.6,1441.285561
2001,Nov,225,8,11.6,23.2,1051.577749
2001,Dec,50,1.9,11,25.5,190.243367
2002,Jan,210,5,11.3,24.8,857.115479
2002,Feb,140,1.8,11.3,26.9,69.1523192
2002,Mar,150,4.8,10.5,25.6,587.3232283
2002,Apr,145,8.5,11.4,24.9,1881.997543
2002,May,250,11.6,11.9,24,5904.864715
2002,Jun,390,4.3,11.2,23.4,286.2593961
2002,Jul,600,4.7,10.2,24.1,709.8478309
2002,Aug,325,7.6,11,23.2,562.3663023
2002,Sep,190,2.3,10,24.9,47.59944754
2002,Oct,110,4.3,10.9,24.4,1074.553729
2002,Nov,170,6.3,11.3,24,1308.409477
2002,Dec,100,7.4,12,23.8,921.2314092
2003,Jan,330,0.5,10.2,25.3,6.258442515
2003,Feb,330,0.9,11.1,27.6,51.06658822
2003,Mar,430,6.2,11.3,27.6,5393.190501
2003,Apr,130,11.2,12.6,24.7,3964.430644
2003,May,190,11,12.1,23.5,3240.766279
2003,Jun,210,5.1,12,23.1,354.1827456
2003,Jul,240,4.2,11.5,22.6,215.5760732
2003,Aug,170,6.4,11.9,23.1,1060.158342
2003,Sep,130,6.6,10.5,24.3,724.0537053
2003,Oct,165,6,10.9,24.5,798.3081963
2003,Nov,110,3.7,11.7,24.2,374.0244585
2003,Dec,130,2,9.9,24.6,80.15440605
2004,Jan,210,4.2,11.4,25.3,497.3853128
2004,Feb,205,3.2,12.2,25.7,589.3353352
2004,Mar,205,5.3,11.9,26.1,2135.493782
2004,Apr,105,9.6,12.4,23.6,1363.989434
2004,May,190,5.2,11.6,24.3,2039.016084
2004,Jun,180,4.1,11.6,23.1,406.470757
2004,Jul,165,3.3,10.4,23.3,91.34433578
2004,Aug,95,5.4,11.6,23.4,368.8091454
2004,Sep,95,6.3,11.4,24,1154.993041
2004,Oct,70,1.8,10.8,24.1,55.70353145
